,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Helthcare_2,Shops_1,Shops_2,Rooms_outlier,HouseFloor_outlier,HouseYear_outlier,LifeSquare_nan,DistrictSize,new_district,IsDistrictLarge,MedPriceByDistrict,MedPriceByFloorYear,Price
10,3.0,64.54365752157776,42.65154108152244,7.0,7,9.0,1981,0.300322518,1,1,52,10311,6,1,9,1,0,1,0,0,78.0,0,0,266705.08697586285,231293.38628897647,272782.4498245242
11,3.0,84.62535038041838,78.62535038041838,3.0,6,17.0,1977,0.2432045189999999,1,1,5,1564,0,0,0,1,0,0,0,1,333.0,0,1,215450.1170981757,192538.8720151198,214970.58767503768
12,1.0,34.74345696404944,19.77211048020402,6.0,5,9.0,1971,0.265088676,1,1,37,5288,0,3,2,1,0,0,0,0,50.0,0,0,148565.0565610389,188753.1630208684,159298.50927707335
13,2.0,46.81377639633951,31.88300844519038,5.0,4,5.0,1968,0.0,1,1,47,11319,0,3,5,1,0,0,0,0,78.0,0,0,212027.90507381962,188753.1630208684,186584.97336866357
14,1.0,37.55519665650439,31.555196656504393,3.0,1,1.0,1977,0.2114012139999999,1,1,9,1892,0,0,1,1,0,1,0,1,578.0,0,1,117801.20493288733,178342.56686107177,107098.55419152437
15,1.0,42.26722484375383,21.46592686704648,9.0,7,14.0,1974,0.036122292,1,1,24,4378,0,1,1,1,0,0,0,0,55.0,0,0,177741.0988482532,192538.8720151198,183348.08310758497
16,3.0,80.22072039829617,51.68709687016006,7.0,5,5.0,1959,0.050272014,1,1,21,4231,14,0,3,1,0,0,0,0,14.0,0,0,414194.2853361465,188753.1630208684,405266.53269599634
17,1.0,40.59683289423657,21.245197252889778,8.0,14,15.0,1976,0.265088676,1,1,37,5288,0,3,2,1,0,0,0,0,52.0,0,0,152740.87600139205,184486.69433545138,175062.36880959288
18,3.0,82.65281783064879,5.690155050675605,3.0,4,17.0,2015,0.072157581,1,1,2,629,1,0,0,0,0,0,0,0,578.0,0,1,209714.9398043233,170847.41676632906,214629.90023158133
19,2.0,53.95263365449035,33.506643006990615,9.0,5,14.0,2004,0.090799103,1,1,74,19083,2,5,15,1,0,0,0,0,77.0,0,0,208701.6173203945,256017.8137527494,242335.58095531102
20,1.0,38.40920209811358,21.62984108493286,9.0,12,22.0,2000,0.188783766,1,1,31,6137,4,0,1,1,0,0,0,0,78.0,0,0,172887.52455463458,232825.53906714258,183164.96984009826
21,1.0,44.87876658563359,38.87876658563359,3.0,1,9.0,1977,0.0071223169999999,1,1,1,264,0,0,1,1,0,0,0,1,445.0,0,1,147390.42564321414,178342.56686107177,140947.20604427738
22,3.0,83.6700317460115,46.35835603454894,3.0,8,13.0,2015,0.072157581,1,1,2,629,1,0,0,0,0,1,0,0,578.0,0,1,209714.9398043233,171058.5197985668,232356.80679908078
23,1.0,34.2360316094451,18.477327316639123,5.0,5,5.0,1970,0.298204575,1,1,16,4048,3,1,3,1,0,0,0,0,78.0,0,0,181918.22395966784,188753.1630208684,165151.3670893307
24,2.0,69.84923946355873,63.84923946355873,3.0,3,13.0,1977,0.011654127,1,1,4,915,0,0,0,1,0,1,0,1,578.0,0,1,167073.34395124693,180026.27472052464,174363.63621169512
25,2.0,44.48795120333836,31.249479084334805,5.0,3,5.0,1964,0.038692987,1,1,28,6533,1,2,5,1,0,0,0,0,88.0,0,0,199395.98992073943,180026.27472052464,179337.63888582695
26,3.0,65.28732835066816,43.39947294551419,6.0,4,12.0,1975,0.002211665,1,1,39,7614,3,1,5,0,0,0,0,0,153.0,0,1,209726.09652546572,188753.1630208684,241595.5690199697
27,1.0,48.61066139896364,48.75250170157906,3.0,2,3.0,1977,0.43788524,1,1,23,5735,3,0,5,1,0,1,0,0,106.0,0,1,120976.87235354321,180026.27472052464,115483.81299858604
28,1.0,39.135254121898015,20.144385046994515,9.0,3,14.0,1975,0.135649789,1,1,46,7960,6,3,11,1,0,0,0,0,18.0,0,0,195100.58874187616,180026.27472052464,194387.02431767795
29,2.0,65.55069031351593,61.68927974726669,10.0,13,22.0,1988,0.037177818,1,1,52,11217,1,1,7,1,0,0,0,0,43.0,0,0,227865.9901598276,232825.53906714258,275201.9412520994
30,2.0,63.46068440528138,57.46068440528138,3.0,13,13.0,1977,0.2432045189999999,1,1,5,1564,0,0,0,1,0,1,0,1,333.0,0,1,178456.9735752324,184486.69433545138,184146.60605300442
31,3.0,59.587201514235545,40.477183928397714,5.0,4,5.0,1963,0.151346216,1,0,32,5889,10,4,1,1,0,0,0,0,36.0,0,0,366800.2896237908,188753.1630208684,277440.999109184
32,1.0,66.42658474782806,60.42658474782806,3.0,4,13.0,1977,0.0071223169999999,1,1,1,264,0,0,1,1,0,1,0,1,445.0,0,1,147390.42564321414,188753.1630208684,171170.67354412572
33,1.0,41.94496466545661,22.958757262957068,7.0,4,12.0,2007,0.158249043,1,1,21,5731,0,1,0,1,0,0,0,0,24.0,0,0,167621.27518788795,256017.8137527494,166828.73711385735
34,1.0,42.30075235549632,21.661780575041654,8.0,6,12.0,1976,0.0077202819999999,1,1,38,4788,2,0,4,1,0,0,0,0,15.0,0,0,207002.6980787636,192538.8720151198,192958.82323796
35,2.0,55.82973026173838,30.340549390635736,8.0,12,14.0,1987,0.0,1,1,39,8647,0,0,5,1,0,0,0,0,23.0,0,0,236260.5511704426,232825.53906714258,233020.6727319474
36,1.0,37.48081132318665,16.851794529945757,8.0,1,5.0,1933,0.16909109,1,1,19,3856,10,2,5,1,0,1,0,0,1.0,0,0,220501.566180364,293804.6317710072,212183.9891525462
37,2.0,42.96746158847596,29.40784130754601,5.0,5,5.0,1962,0.319809354,1,1,25,4756,16,5,8,1,0,0,0,0,35.0,0,0,180742.71754176624,188753.1630208684,175553.6596151708
38,2.0,51.92149100340754,45.92149100340754,3.0,6,17.0,1977,0.371148999,1,1,34,7065,1,2,5,1,0,0,0,1,102.0,0,1,170900.2142682733,192538.8720151198,157571.55713691883
39,1.0,42.41379292852747,42.43488662634184,10.0,12,17.0,2017,0.011654127,1,1,4,915,0,0,0,1,0,0,0,0,578.0,0,1,117801.20493288733,173987.19085325956,122132.17586467715
40,2.0,62.32604379639152,53.32604379639152,6.0,12,17.0,1977,0.072157581,1,1,2,629,1,0,0,0,0,0,0,1,578.0,0,1,167073.34395124693,184486.69433545138,205926.2399118905
41,2.0,49.01197643712825,27.98019469201397,5.0,1,5.0,1969,0.194489265,1,1,47,8004,3,3,5,1,0,1,0,0,117.0,0,1,184381.69668389653,178342.56686107177,174013.3807389549
42,2.0,51.48211422111755,30.224071313164977,6.0,2,9.0,1972,0.0,1,1,47,11319,0,3,5,1,0,0,0,0,22.0,0,0,321106.30607795983,180026.27472052464,165976.3528366116
43,1.0,37.48405677665481,40.59303648295684,3.0,4,17.0,1977,0.0071223169999999,1,1,1,264,0,0,1,1,0,0,0,0,445.0,0,1,147390.42564321414,188753.1630208684,150361.53095907957
44,1.0,40.7340773392944,22.50785607947856,9.0,3,16.0,1984,0.0144231139999999,1,1,19,3806,4,0,3,1,0,0,0,0,71.0,0,0,226456.42470790184,204940.08260898892,205659.34499517243
45,3.0,81.91299694150432,75.87209437359333,11.0,3,6.0,2015,0.072157581,1,1,2,629,1,0,0,0,0,0,0,0,153.0,0,1,209726.09652546572,161884.91034616335,202314.32845533453
46,1.0,42.89956912819317,36.89956912819317,3.0,1,13.0,1977,0.195781053,1,1,23,5212,6,3,2,1,0,1,0,1,71.0,0,0,226456.42470790184,178342.56686107177,216258.83640948214
47,3.0,65.27804860817325,37.96924667271245,8.0,9,12.0,1980,0.225824954,0,1,41,6558,7,3,2,1,0,0,0,0,74.0,0,0,290946.30636493285,192538.8720151198,285914.9490419471
48,2.0,56.946262829893904,32.07274432770187,9.0,9,17.0,2000,0.069753361,1,1,53,13670,4,1,11,1,0,0,0,0,74.0,0,0,256069.35831470403,231293.38628897647,252272.00151567176
49,1.0,35.77227631508761,20.554842478626117,6.0,6,9.0,1971,0.3139245519999999,1,1,22,4625,11,2,10,1,0,0,0,0,104.0,0,1,191641.67652114877,192538.8720151198,190282.10486413716
50,1.0,38.26917330379148,32.26917330379148,3.0,6,17.0,2017,0.2432045189999999,1,1,5,1564,0,0,0,1,0,0,0,1,333.0,0,1,131151.38600978858,171058.5197985668,127481.69549694775
51,2.0,75.65518228761803,36.87762581722146,6.0,2,7.0,1929,0.0,1,1,8,1423,37,1,8,1,0,0,0,0,5.0,1,0,243250.62331044863,394759.1583955055,322800.0003667979
52,3.0,64.38160695908242,44.71593166280484,6.0,11,12.0,1975,0.100455735,1,1,43,7227,0,1,6,0,0,0,0,0,41.0,0,0,252444.4920212839,184486.69433545138,251268.3130470698
53,1.0,39.76106332210328,21.60703451903066,10.0,21,22.0,1990,0.0,1,1,39,8647,0,0,5,1,0,0,0,0,23.0,0,0,166765.5074582915,266407.1771777748,174565.3717143381
54,2.0,43.513289771860215,31.630247170939104,5.0,5,5.0,1960,0.210473241,1,1,11,2398,2,3,0,1,0,0,0,0,7.0,0,0,202894.3493019678,188753.1630208684,192468.68062082745
55,1.0,48.58791283401774,42.59618990044877,12.0,1,2.0,2016,0.017647053,1,1,2,469,0,0,0,1,0,1,0,0,578.0,0,1,117801.20493288733,183654.6970119634,146448.45278218132
56,1.0,39.24073097663606,21.31060259811018,6.0,5,5.0,1954,0.069660344,1,1,31,6119,4,1,2,1,0,0,0,0,65.0,0,0,153882.34056498017,188753.1630208684,163176.631538239
57,3.0,80.9876545077203,43.73663639061216,8.0,12,14.0,1996,0.4288258179999999,1,1,25,5011,8,0,2,1,0,0,0,0,45.0,0,0,239018.77988856094,232825.53906714258,329128.7514876613
58,1.0,21.45289948496242,15.798509455881073,3.0,2,9.0,1972,0.194489265,1,1,47,8004,3,3,5,1,0,1,0,0,117.0,0,1,154154.1164650999,180026.27472052464,109752.74219982837
59,1.0,44.25499476053788,38.25499476053788,3.0,1,1.0,1977,0.2114012139999999,1,1,9,1892,0,0,1,1,0,1,0,1,578.0,0,1,117801.20493288733,178342.56686107177,114394.7108569728
60,3.0,53.36886531810877,28.35633494562121,6.0,11,16.0,1970,0.0,1,1,23,3684,2,0,4,1,0,0,0,0,4.0,0,0,423796.83967481,184486.69433545138,324691.5315726206
61,2.0,76.94903095713292,36.339712068099374,6.0,3,27.0,2019,0.050755569,1,1,24,5469,1,0,1,1,0,0,0,0,30.0,0,0,216816.04304193016,161884.91034616335,313098.46263760695
62,2.0,66.20329032176707,60.20329032176707,3.0,22,22.0,1977,7.81528e-05,1,1,22,6398,141,3,23,1,0,0,0,1,152.0,0,1,177872.2651876468,175836.38525932154,188540.6481557657
63,3.0,75.51646591244769,46.544911421665006,8.0,20,21.0,1993,0.4288258179999999,1,1,25,5011,8,0,2,1,0,0,0,0,45.0,0,0,239018.77988856094,266407.1771777748,315932.5693817283
64,1.0,52.70849383766689,20.502344662972035,11.0,3,7.0,1911,0.0144231139999999,1,1,19,3806,4,0,3,1,0,0,0,0,6.0,0,0,238375.40833435918,262279.81391450414,255872.25556383267
65,1.0,40.76789229479071,37.2365484975994,3.0,8,19.0,2017,0.041124634,1,1,46,9515,5,1,10,1,0,1,0,0,64.0,0,0,204782.61167230003,171058.5197985668,211750.95056278855
66,1.0,1.37854264044678,1.3535730763724765,3.0,1,1.0,1977,0.049637257,1,1,34,7759,0,1,3,1,0,0,0,0,104.0,0,1,191641.67652114877,178342.56686107177,355623.4714259673
67,3.0,80.78475292627712,52.12130941476329,8.0,4,8.0,1985,0.0,1,1,30,5562,0,0,5,0,0,0,0,0,38.0,0,0,277100.6108119677,227067.53387831067,269199.87475427834
68,2.0,45.87749808411965,30.57828334867244,5.0,9,9.0,1982,0.371148999,1,1,34,7065,1,2,5,1,0,0,0,0,102.0,0,1,170900.2142682733,231293.38628897647,181051.55251023002
69,2.0,54.13232486276449,33.01516142531034,10.0,5,16.0,1985,0.175054867,1,1,36,10055,3,1,0,1,0,0,0,0,55.0,0,0,224277.83102613143,227067.53387831067,249492.99989742727
70,2.0,52.44905662805961,52.79834949331681,3.0,17,17.0,2016,7.81528e-05,1,1,22,6398,141,3,23,1,0,0,0,0,152.0,0,1,177872.2651876468,218538.048236916,156413.61941735548
71,2.0,85.91182654959276,4.188395456748467,3.0,1,1.0,2016,0.341071945,1,1,27,5664,48,3,11,1,0,1,0,0,18.0,0,0,199971.49858488122,183654.6970119634,266142.2121687282
72,4.0,99.11258109881224,93.11258109881224,3.0,1,1.0,1977,0.069753361,1,1,53,13670,4,1,11,1,0,1,0,1,74.0,0,0,401035.0387161508,178342.56686107177,395318.38058161864
73,2.0,49.466316196136056,33.571667179791206,6.0,2,9.0,1976,0.002211665,1,1,39,7614,3,1,5,0,0,0,0,0,153.0,0,1,180325.76601073224,180026.27472052464,184118.89262176363
74,1.0,45.88599235529387,39.88599235529387,3.0,11,20.0,1977,0.0071223169999999,1,1,1,264,0,0,1,1,0,0,0,1,445.0,0,1,147390.42564321414,184486.69433545138,154281.13791937113
75,1.0,34.59139014753839,18.76559975769299,9.0,7,12.0,1970,0.307466659,1,0,30,5048,9,2,5,1,0,1,0,0,49.0,0,0,169333.5333558262,192538.8720151198,167544.1877013871
76,2.0,52.15652933727925,30.095966385142685,8.0,11,17.0,2000,0.012338886,1,1,35,5776,1,2,4,1,0,1,0,0,66.0,0,0,188197.95934809052,232825.53906714258,217928.71058619744
77,2.0,59.92750221994705,3.798341250821946,3.0,1,1.0,2017,0.195781053,1,1,23,5212,6,3,2,1,0,1,0,0,71.0,0,0,336460.5119202536,183654.6970119634,294342.83855174255
78,5.0,122.37527320536724,0.3334899423857579,3.0,9,13.0,1977,0.069753361,1,1,53,13670,4,1,11,1,0,1,0,0,74.0,0,0,243250.62331044863,192538.8720151198,428448.88088563015
79,2.0,44.96503505259403,28.22362060723411,5.0,2,5.0,1966,0.265088676,1,1,37,5288,0,3,2,1,0,0,0,0,50.0,0,0,193518.6591764792,180026.27472052464,172240.0384685718
80,2.0,48.11315961694912,30.408247218629988,5.0,9,9.0,1978,0.101872465,1,1,23,4583,3,3,3,1,0,0,0,0,66.0,0,0,228796.54255505843,192538.8720151198,211211.81641539227
81,3.0,99.6149063275124,93.6149063275124,3.0,10,16.0,2016,0.072157581,1,1,2,629,1,0,0,0,0,0,0,1,578.0,0,1,209714.9398043233,173987.19085325956,245826.6482664767
82,2.0,61.61064227259608,55.61064227259608,3.0,11,17.0,1977,0.2432045189999999,1,1,5,1564,0,0,0,1,0,0,0,1,333.0,0,1,178456.9735752324,184486.69433545138,177119.27463149463
83,2.0,71.00673046165267,69.01066476613677,3.0,4,10.0,2015,0.051942062,1,1,17,4017,7,2,0,1,0,0,0,0,14.0,0,0,285195.77256176167,170847.41676632906,294294.7912513425
84,2.0,49.38371045457262,32.942613319451254,9.0,10,12.0,1977,0.007658515,1,1,35,7077,56,3,19,1,0,0,0,0,14.0,0,0,283945.4459670754,184486.69433545138,290315.47477394505
85,3.0,76.96571164413479,47.70559044355444,10.0,11,17.0,1976,0.050755569,1,1,24,5469,1,0,1,1,0,0,0,0,30.0,0,0,300335.8039081511,184486.69433545138,295118.85081930767
86,3.0,63.58085474118582,43.920986586541176,6.0,7,12.0,1976,0.133215333,1,1,49,11395,3,3,4,0,0,0,0,0,77.0,0,0,320685.23214922764,192538.8720151198,252388.811432945
87,1.0,37.18076587542821,22.41201669227402,7.0,16,17.0,2003,0.178916796,1,1,18,3594,4,1,5,1,0,0,0,0,46.0,0,0,189283.79775376833,234885.52718597956,209312.06002852772
88,1.0,36.56453984475184,21.16888468040269,9.0,16,16.0,1983,0.219006007,1,1,28,6746,3,1,4,1,0,0,0,0,90.0,0,0,161307.525553652,266407.1771777748,163524.07894713533
89,2.0,67.06929507059101,61.06929507059101,3.0,5,14.0,1977,0.072157581,1,1,2,629,1,0,0,0,0,0,0,1,578.0,0,1,167073.34395124693,188753.1630208684,182333.91470636064
90,2.0,44.3719968133181,35.5152363268637,5.0,4,5.0,1964,0.111627393,1,1,50,12238,8,2,3,1,0,0,0,0,19.0,0,0,248313.50896328577,188753.1630208684,205663.15059877973
91,1.0,40.56920149635955,23.12970496992642,8.0,4,12.0,1984,0.050900058,1,1,43,10621,1,2,3,1,0,0,0,0,50.0,0,0,148565.0565610389,227067.53387831067,164639.1963295068
92,1.0,39.94622673930563,22.99451555252517,7.0,16,17.0,2004,0.486245621,1,1,13,2514,19,0,6,1,0,0,0,0,4.0,0,0,127119.13657774848,234885.52718597956,144469.3638871921
93,1.0,34.98847159773435,18.10320246804801,5.0,3,9.0,1969,0.194489265,1,1,47,8004,3,3,5,1,0,1,0,0,117.0,0,1,154154.1164650999,180026.27472052464,148669.26858651263
94,3.0,50.83773395507631,38.097690231171626,5.0,8,9.0,1969,0.049637257,1,1,34,7759,0,1,3,1,0,0,0,0,104.0,0,1,359065.28723006113,192538.8720151198,256256.93536024206
95,1.0,40.06169436663471,24.430708001267316,6.0,5,9.0,1973,0.130617806,1,1,39,10418,9,1,9,1,0,0,0,0,58.0,0,0,187857.0777366475,188753.1630208684,171884.8880597403
96,2.0,59.80746627877216,36.61645017821512,8.0,7,14.0,1971,0.122190486,1,1,25,4724,2,1,3,1,0,0,0,0,69.0,0,0,219273.32985656726,192538.8720151198,249445.19713765255
97,3.0,81.72533087449082,75.72533087449082,3.0,10,17.0,1977,0.2432045189999999,1,1,5,1564,0,0,0,1,0,0,0,1,333.0,0,1,215450.1170981757,184486.69433545138,215810.1383043561
98,1.0,43.28614083958463,37.28614083958463,3.0,12,17.0,1977,0.2432045189999999,1,1,5,1564,0,0,0,1,0,0,0,1,333.0,0,1,131151.38600978858,184486.69433545138,127350.40482652921
99,2.0,60.56476624780491,48.56476624780491,9.0,13,19.0,2018,0.2114012139999999,1,1,9,1892,0,0,1,1,0,0,0,1,578.0,0,1,167073.34395124693,173987.19085325956,145226.12195798065
100,1.0,35.247786008690774,20.35825169147965,10.0,12,12.0,1971,0.038692987,1,1,28,6533,1,2,5,1,0,0,0,0,88.0,0,0,157816.27905787423,184486.69433545138,166252.6392751106
101,2.0,63.82016625789128,57.82016625789128,3.0,3,22.0,1977,0.0071223169999999,1,1,1,264,0,0,1,1,0,0,0,1,445.0,0,1,202078.69215108693,180026.27472052464,200783.36616382204
102,2.0,65.58257179879305,66.67575842977638,3.0,1,2.0,2017,0.2432045189999999,1,1,5,1564,0,0,0,1,0,1,0,0,333.0,0,1,178456.9735752324,183654.6970119634,195042.24447654345
103,1.0,36.86914550527779,22.70188015216511,10.0,6,12.0,1970,0.040242764,1,1,25,3478,11,3,1,1,0,0,0,0,11.0,0,0,168138.7001192536,192538.8720151198,182608.88322361678
104,3.0,68.25377388584388,44.18144257158742,6.0,11,12.0,1983,0.059456227,1,1,1,362,0,0,0,1,0,0,0,0,445.0,0,1,244044.14116421936,232825.53906714258,193251.05610260263
105,2.0,44.13215080939988,30.6354586649973,5.0,3,9.0,1970,0.033493708,1,1,66,10573,1,3,8,1,0,0,0,0,66.0,0,0,188197.95934809052,180026.27472052464,165302.83791319907
106,1.0,40.00475499775998,23.039418903703467,9.0,8,25.0,2000,0.0,1,1,30,5562,0,0,5,0,0,0,0,0,38.0,0,0,176590.28782155731,231293.38628897647,176048.83693363253
107,3.0,79.50640578376672,44.54247189104824,12.0,12,17.0,2013,0.2432045189999999,1,1,5,1564,0,0,0,1,0,1,0,0,333.0,0,1,215450.1170981757,173987.19085325956,216458.97290225665
108,1.0,37.33675434967256,24.57334918153026,9.0,11,12.0,1972,0.149666373,1,1,22,4789,2,4,1,1,0,0,0,0,60.0,0,0,157290.1916921251,184486.69433545138,167652.45574402905
109,1.0,40.414996137045335,39.01334079739734,3.0,10,17.0,2015,7.81528e-05,1,1,22,6398,141,3,23,1,0,0,0,0,152.0,0,1,127160.13786863102,173987.19085325956,113081.82945962361
110,3.0,81.68036945315265,75.68036945315265,3.0,6,17.0,1977,0.0071223169999999,1,1,1,264,0,0,1,1,0,0,0,1,445.0,0,1,244044.14116421936,192538.8720151198,257009.17519280207
111,1.0,38.39566517656587,17.33154273240228,8.0,11,14.0,2010,0.31019913,1,1,11,2748,1,0,0,1,0,0,0,0,197.0,0,1,136573.03323644644,250613.2151511065,143104.14393558932
112,3.0,81.38355446385975,75.38355446385975,3.0,8,17.0,1977,0.0071223169999999,1,1,1,264,0,0,1,1,0,0,0,1,445.0,0,1,244044.14116421936,192538.8720151198,236915.83370051917
113,1.0,50.738045404446055,44.738045404446055,3.0,5,13.0,1977,7.81528e-05,1,1,22,6398,141,3,23,1,0,1,0,1,152.0,0,1,127160.13786863102,188753.1630208684,151499.3805083923
114,3.0,65.35995760974463,47.33830743319194,7.0,5,16.0,1985,0.000991363,1,1,33,6783,3,1,9,1,0,0,0,0,18.0,0,0,411880.5586631723,227067.53387831067,338256.1658270825
115,2.0,53.063084301863526,31.78461416302149,8.0,5,12.0,1980,0.100455735,1,1,43,7227,0,1,6,0,0,0,0,0,21.0,0,0,242099.91868038074,188753.1630208684,233008.82466610053
116,1.0,35.46762292099524,19.552565068001936,8.0,4,9.0,1974,0.118537385,1,1,30,6207,1,1,0,1,0,0,0,0,53.0,0,0,173003.93995624562,188753.1630208684,166633.8286338205
117,2.0,55.76238299788938,49.76238299788938,3.0,2,3.0,1977,0.005767451,1,1,1,388,0,0,0,1,0,0,0,1,377.0,0,1,143681.1841476016,180026.27472052464,89832.08122338702
118,3.0,58.84818819217564,40.41200607153679,6.0,6,9.0,1988,0.2114012139999999,1,1,9,1892,0,0,1,1,0,1,0,0,578.0,0,1,209714.9398043233,231293.38628897647,189961.31480869037
119,2.0,57.0651733126042,36.95947586268216,7.0,2,5.0,1957,0.161975568,1,0,31,7010,5,3,7,1,0,0,0,0,46.0,0,0,228337.5184307185,180026.27472052464,268824.8783177846
120,1.0,40.40738968244302,34.40738968244302,3.0,9,13.0,1977,0.2114012139999999,1,1,9,1892,0,0,1,1,0,1,0,1,578.0,0,1,117801.20493288733,192538.8720151198,96552.08567588721
121,1.0,39.35238606819616,33.35238606819616,3.0,1,1.0,1977,0.2432045189999999,1,1,5,1564,0,0,0,1,0,1,0,1,333.0,0,1,131151.38600978858,178342.56686107177,118805.05071974054
122,2.0,60.19436250168855,54.19436250168855,3.0,7,17.0,2019,0.178916796,1,1,18,3594,4,1,5,1,0,0,0,1,12.0,0,0,231902.03361237267,171058.5197985668,270040.42080590775
123,1.0,31.47266953627269,18.18801523365757,7.0,3,4.0,1969,0.01405792,1,1,1,290,0,0,0,1,0,0,0,0,578.0,0,1,117801.20493288733,180026.27472052464,79156.02615608154
124,1.0,38.445139225327495,25.62977778991247,6.0,8,9.0,1976,0.012338886,1,1,35,5776,1,2,4,1,0,0,0,0,66.0,0,0,152686.7705920468,192538.8720151198,148722.46028704246
125,2.0,53.3122283267581,33.794068031118044,8.0,3,14.0,1993,0.090799103,1,1,74,19083,2,5,15,1,0,0,0,0,41.0,0,0,231256.80827055237,204940.08260898892,215126.266005189
126,3.0,76.53132804062339,53.93333647094448,9.0,7,8.0,1958,0.0,1,1,23,3684,2,0,4,1,0,0,0,0,20.0,0,0,494516.3420100632,192538.8720151198,507288.41660199175
127,2.0,43.608366163549405,29.31061990961503,5.0,2,5.0,1965,0.265088676,1,1,37,5288,0,3,2,1,0,0,0,0,50.0,0,0,193518.6591764792,180026.27472052464,174119.5181641826
128,1.0,41.10120381868301,35.10120381868301,3.0,12,17.0,1977,0.2432045189999999,1,1,5,1564,0,0,0,1,0,0,0,1,333.0,0,1,131151.38600978858,184486.69433545138,124289.44023048886
129,1.0,42.36303354212637,23.00195389527373,9.0,8,14.0,1976,0.050755569,1,1,24,5469,1,0,1,1,0,0,0,0,106.0,0,1,120976.87235354321,192538.8720151198,161149.32840911509
130,1.0,44.021355559604345,38.021355559604345,3.0,13,13.0,1977,0.072157581,1,1,2,629,1,0,0,0,0,1,0,1,153.0,0,1,129252.44008922527,184486.69433545138,125985.46733078947
131,2.0,65.27726764082085,59.27726764082085,3.0,3,17.0,1977,0.075778755,1,1,6,1437,3,0,2,1,0,0,0,1,377.0,0,1,143681.1841476016,180026.27472052464,157862.14307886353
132,3.0,56.310351326127424,50.310351326127424,3.0,4,13.0,1977,0.072157581,1,1,2,629,1,0,0,0,0,1,0,1,578.0,0,1,209714.9398043233,188753.1630208684,176752.91991843347
133,1.0,40.41964308327738,23.671261651222206,8.0,3,14.0,1997,0.033493708,1,1,66,10573,1,3,8,1,0,0,0,0,3.0,0,0,162569.58368566254,204940.08260898892,176726.95256192918
134,1.0,44.90071539736364,38.90071539736364,3.0,15,17.0,1977,0.2432045189999999,1,1,5,1564,0,0,0,1,0,0,0,1,333.0,0,1,131151.38600978858,184486.69433545138,127764.15772765405
135,4.0,65.78695277974502,47.24958728507751,6.0,8,9.0,1981,0.037177818,1,1,52,11217,1,1,7,1,0,0,0,0,43.0,0,0,258980.34002275064,231293.38628897647,258209.53608176534
136,2.0,45.4939952554144,30.828492926926938,7.0,6,8.0,1963,0.020741326,1,1,24,5613,5,2,5,1,0,0,0,0,29.0,0,0,212840.34350365275,192538.8720151198,210233.43467014798
137,2.0,48.32314250593068,30.511397176361456,5.0,7,9.0,1971,0.111627393,1,1,50,12238,8,2,3,1,0,0,0,0,46.0,0,0,228337.5184307185,192538.8720151198,203847.32957625054
